Iteration,GA_Fitness,GWO_Fitness,GWO-GA_Fitness
1,49.07855204170016,49.03437863118427,45.461345942449306
2,1.966310109370931,1.1352856214280494e-09,1.2524891020539954e-12
3,0.09800609157847077,8.577398492733804e-20,4.0764772230399407e-23
4,0.04774704057962036,1.0048321467568406e-25,1.4377833038689541e-29
5,0.035811950364635504,1.0716618375778795e-28,6.712642386430335e-33
